label,Tgen_ID,TMA,file_path,total_bins,fraction_under_100,fraction_zero,mean_umi,median_umi,sd_umi,mean_percent_mt,median_percent_mt,bins_gt_100,fraction_over_100,Fnumber,sample_name,xmin,xmax,ymin,ymax
F07833_5_RT,F07833,RL_MycCaP_TMA2_Slide2,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07833_5_RT.rds,122168,0.192194355,0,163.5465261,164,77.48017023,2.686448943,2.5,98317,0.804768843,F07833,5_RT,6653.5425058359815,10845.33718927089,977.5337993268197,5759.8409672055495
F07833_8_CRRT,F07833,RL_MycCaP_TMA2_Slide2,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07833_8_CRRT.rds,198927,0.053708144,0,247.0117128,244,93.14821761,4.143490478,3.883495146,188033,0.945236192,F07833,8_CRRT,1078.0963727281153,6897.608862055918,938.2380183560977,6088.933153010001
F07833_9_KDRT,F07833,RL_MycCaP_TMA2_Slide2,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07833_9_KDRT.rds,168227,0.519387494,0,103.3313202,96,65.2397688,4.998682663,2.941176471,79979,0.475423089,F07833,9_KDRT,1044.21105863505,6140.596578506678,5835.750607545191,10707.534259088921
F07833_28_LFRT,F07833,RL_MycCaP_TMA2_Slide2,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07833_28_LFRT.rds,142856,0.685473484,0,67.9004102,68,53.72201187,11.04304886,4.444444444,43988,0.307918463,F07833,28_LFRT,6191.182289957436,10812.883725764923,5981.329945138793,10740.572664687834
F07834_8_CRRT,F07834,RL_MycCaP_TMA2_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07834_8_CRRT.rds,149041,0.056930643,0,300.1350635,294,133.2159472,4.170958344,3.930131004,140414,0.942116599,F07834,8_CRRT,2435.575540537605,6273.052859548776,5573.839263199045,11812.8912427643
F07834_9_KDRT,F07834,RL_MycCaP_TMA2_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07834_9_KDRT.rds,209790,0.428385528,0,114.2089089,112,63.19135909,4.64005604,3.03030303,118744,0.566013633,F07834,9_KDRT,5819.489915248101,12115.118572658843,6176.93628579858,11772.031506178126
F07834_28_LFRT,F07834,RL_MycCaP_TMA2_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07834_28_LFRT.rds,139549,0.591806462,0,80.32947567,81,60.38577262,10.17158523,4.47761194,56146,0.402338963,F07834,28_LFRT,6193.788444994609,11813.229962884323,1947.0506872526582,5998.6409921101085
F07834_5_RT,F07834,RL_MycCaP_TMA2_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07834_5_RT.rds,81638,0.087569514,0,231.2305911,223,103.6333893,2.77571903,2.614379085,74353,0.910764595,F07834,5_RT,2382.7036552769455,5951.990599610372,2034.1759217833849,5673.937939264228
F07835_3_RT,F07835,RL_MycCaP_TMA1_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07835_3_RT.rds,149257,0.923166083,0,35.79588897,7,102.6115003,29.20967162,25,11449,0.07670662,F07835,3_RT,6385.976771929892,11509.028652726482,6631.9381964653985,11105.342877246832
F07835_7_CRRT,F07835,RL_MycCaP_TMA1_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07835_7_CRRT.rds,173580,0.449648577,0,180.3410013,147,165.3266273,7.115796338,4.090909091,95330,0.549199216,F07835,7_CRRT,6663.190130537649,11476.278809280613,1329.4462470138178,6695.813988859786
F07835_2_KDRT,F07835,RL_MycCaP_TMA1_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07835_2_KDRT.rds,181980,0.944318057,0,64.13541598,63,22.08132636,4.949343809,4.225352113,9410,0.051708979,F07835,2_KDRT,1713.1352109501054,6810.160224952583,1373.6171401729896,6848.933707763173
F07835_27_LFRT,F07835,RL_MycCaP_TMA1_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07835_27_LFRT.rds,120872,0.033870541,0,380.8404676,381,139.9378082,4.406953825,4.12371134,116757,0.965955722,F07835,27_LFRT,1739.9537183016312,6144.974860446679,6954.461588646185,11139.920126155263
F07836_11_RT,F07836,RL_MycCaP_TMA3_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07836_11_RT.rds,118525,0.976452225,0,47.91468467,44,20.9885315,4.470460206,4,2631,0.022197849,F07836,11_RT,6571.430545347527,10577.279946053219,2032.2199117198716,6942.81014251082
F07836_10_CRRT,F07836,RL_MycCaP_TMA3_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07836_10_CRRT.rds,175062,0.123619061,0,194.8698061,196,87.40958339,5.96896191,5.517241379,153188,0.875049982,F07836,10_CRRT,803.043162697332,6587.106974680741,1948.9888019714242,6659.262540731367
F07836_13_KDRT,F07836,RL_MycCaP_TMA3_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07836_13_KDRT.rds,194031,0.469708449,0,105.0969175,103,50.61880486,4.832259467,4.273504274,101325,0.522210368,F07836,13_KDRT,858.1146319652304,6335.822007910424,6529.280371948523,11779.910853251751
F07836_29_LFRT,F07836,RL_MycCaP_TMA3_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07836_29_LFRT.rds,144544,0.288313593,0,193.9321937,213,129.3990779,3.650734564,3.21242142,102752,0.710870046,F07836,29_LFRT,6592.498311437878,10671.113529673985,6511.541701728397,11691.402244491132
F07837_31_RT,F07837,RL_SKO_TMA1_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07837_31_RT.rds,145888,0.02699331,0,313.0429645,299,131.4931197,1.645477086,1.511162012,141841,0.972259542,F07837,31_RT,6394.155056837915,11036.37750509625,1376.158295895404,6067.287845924916
F07837_35_LGIRT,F07837,RL_SKO_TMA1_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07837_35_LGIRT.rds,193152,0.24359054,0,138.6029189,135,57.09118868,2.112731545,1.898734177,144899,0.750181204,F07837,35_LGIRT,1284.4764506552613,6726.230884216301,1362.174661489418,6889.159675294607
F07837_33_LGIRT,F07837,RL_SKO_TMA1_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07837_33_LGIRT.rds,152832,0.639447236,0,103.4071857,47,118.2288716,8.527513852,3.773584906,54842,0.358838463,F07837,33_LGIRT,6694.221695606778,11023.54021089941,5889.872779018027,11123.995451059662
F07837_37_CRRT,F07837,RL_SKO_TMA1_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07837_37_CRRT.rds,132398,0.171218598,0,188.5261333,186,91.05176337,1.904954416,1.739130435,109431,0.826530612,F07837,37_CRRT,1275.568970143985,6765.191824465273,6404.80032582775,11113.934981925957
F07838_32_RT,F07838,RL_SKO_TMA2_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07838_32_RT.rds,160631,0.725849929,0,66.50879345,20,83.37914942,5.120430934,1.212121212,43675,0.271896458,F07838,32_RT,1825.7354162594556,6775.9562090507825,7545.345203294291,12345.27855917457
F07838_36_CRRT,F07838,RL_SKO_TMA2_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07838_36_CRRT.rds,160004,0.161064723,0,260.1501275,242,162.182848,2.000208051,1.764705882,133943,0.837122822,F07838,36_CRRT,6152.758979388177,11586.85435609188,2559.342195072426,12320.343695701149
F07838_34_LGIRT,F07838,RL_SKO_TMA2_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07838_34_LGIRT.rds,179231,0.199959828,0,146.4816131,144,60.06929033,2.461758807,1.904761905,142446,0.794762067,F07838,34_LGIRT,6067.479857065784,11564.423749402407,2559.6034223628935,7722.426352041937
F07838_38_CRRT,F07838,RL_SKO_TMA2_Slide1,/Users/janzules/Roselab/Spatial/dietary_project/data/Raw_objects/F07838_38_CRRT.rds,159581,0.059975812,0,319.0190812,307,150.1232279,1.91392241,1.773049645,149893,0.939291018,F07838,38_CRRT,1802.8216504697748,6444.383265431548,2582.644868851537,7627.280294205152
